name;addr;rating;phone;more_phones;
Гармония Вкуса;199155, Санкт-Петербург, Уральская ул., д. 1;0.0;;;
William Bass;191040, Санкт-Петербург, Лиговский пр-кт, д. 53, — 1;0.0;;;
Mama Roma;191023, Санкт-Петербург, Итальянская ул., д. 35, — 1 этаж;0.0;;;
Караоке-бар Cinema;198188, Санкт-Петербург, Васи Алексеева ул., д. 6, — ТЦ Румба, 3 этаж;0.0;;;
Angle Vert;191015, Санкт-Петербург, Суворовский пр-кт, д. 56;3.5;;;
АБРИКОС ХОЛЛ;190000, Санкт-Петербург, Казанская ул., д. 25;0.0;;;
Евразия-Экспресс;194356, Санкт-Петербург, Энгельса пр-кт, д. 134;0.0;+7 812 334-14-55;+7 812 325-60-60;
Моя Италия;190005, Санкт-Петербург, Московский пр-кт;4.1;+7 921 415-18-18;+7 812 317-81-49, +7 812 317-80-43;
Изба;195265, Санкт-Петербург, Луначарского пр-кт, д. 80 к 1, — 1 этаж;0.0;+7 812 988-29-88;+7 965 075-32-12;
Теура;191002, Санкт-Петербург, Рубинштейна ул., д. 9;4.8;+7 965 814-53-67;+7 812 713-14-80;
Оазис, ООО Импульс;194044, Санкт-Петербург, Чугунная ул., д. 40;0.0;;;
Gusto;191024, Санкт-Петербург, Дегтярная ул., д. 1а, — 1;4.8;+7 812 717-18-18;+7 812 941-17-44;
Receptoria;190000, Санкт-Петербург, Адмиралтейский пр-кт, д. 10;0.0;+7 812 315-75-44;+7 812 312-79-67;
Васаби/Розарио;197227, Санкт-Петербург, Богатырский пр-кт, д. 15а;3.2;;;
Тан Жен;192289, Санкт-Петербург, Бухарестская ул., д. 144, — 2 этаж;5.0;;;
Буфетъ;198330, Санкт-Петербург, Маршала Захарова ул., д. 48к2;0.0;;;
1000 обедов;192177, Санкт-Петербург, Караваевская ул., д. 59;0.0;+7 812 700-24-18;+7 812 928-01-85, +7 812 244-24-18;
VIA D'ARGENTO;197341, Санкт-Петербург, Серебристый б-р, д. 29;0.0;;;
Regatta;197022, Санкт-Петербург, Аптекарская наб., д. 12, — причал напротив дома 12т;0.0;;;
Две Палочки;195279, Санкт-Петербург, Индустриальный пр-кт, д. 24, — ТЦ Июнь;0.0;;;
BullHouse;Санкт-Петербург, Барочная ул., д. 1, — 1 этаж;0.0;+7 495 150-09-72;+7 812 235-08-27;
Lucky Pizza;192236, Санкт-Петербург, Софийская ул., д. 29к1;0.0;;;
Ленconcert;197046, Санкт-Петербург, Каменноостровский пр-кт, д. 11а;4.8;;;
Italy Bottega;191186, Санкт-Петербург, Большая Морская ул., д. 14;4.4;;;
Жуи лун;192007, Санкт-Петербург, Лиговский пр-кт, д. 215;4.3;;;
Корсаков;190068, Санкт-Петербург, Большая Подьяческая ул., д. 18, —  вход с ул. Большая Подьяческая;5.0;+7 921 864-20-68;+7 812 310-15-35, +7 921 770-21-82;
Ассорти;195009, Санкт-Петербург, Арсенальная ул., д. 27;0.0;;;
Суши сити;190000, Санкт-Петербург, Декабристов ул., д. 28;0.0;;;
Prime Time;197198, Санкт-Петербург, Большой П.С. пр-кт, д. 29 а, — 208офис;0.0;;;
Или...Suши;193315, Санкт - Петербург,  ш. Мурманское12 Км — ТРК МЕГА Дыбенко;3.0;;;
Sintoho;190000, Санкт-Петербург, Адмиралтейский пр-кт, д. 12, — 1 этаж;0.0;+7 812 339-80-43;+7 812 339-80-00;
Ресторан МамаLыgа;194156, Санкт-Петербург, Энгельса пр-кт, д. 27;0.0;;;
Евразия-Экспресс;195176, Санкт-Петербург, Пискаревский пр-кт, д. 25;0.0;+7 812 334-14-55;+7 812 325-60-60;
Las Torres;191025, Санкт-Петербург, Невский пр-кт, д. 53, — цокольный этаж;5.0;+7 495 150-09-72;+7 812 713-14-53;
Мехико;Санкт-Петербург, Некрасова ул., д. 1/38;0.0;;;
Суши Wok;194017, Санкт-Петербург, Костромской пр-кт, д. 27;5.0;;;
Евразия-Экспресс;196066, Санкт-Петербург, Московский пр-кт, д. 222;0.0;+7 812 334-14-55;+7 812 325-60-60;
Фанза;190068, Санкт-Петербург, Вознесенский пр-кт, д. 55;4.0;+7 952 368-21-71;+7 812 314-89-82;
Лангуст;197022, Санкт - Петербург,  просп. Большой Петроградской Стороны;0.0;;;
Ресторан Рим;190000, Санкт-Петербург, Канала Грибоедова наб., д. 69;0.0;;;
Coffee Party;199106, Санкт-Петербург, Большой В.О. пр-кт, д. 86;0.0;;;
Евразия-Экспресс;198216, Санкт-Петербург, Ленинский пр-кт, д. 132;0.0;+7 812 334-14-55;+7 812 325-60-60;
Олимп;191024, Санкт-Петербург, Исполкомская ул., д. 15, — 2 этаж;5.0;+7 495 150-09-72;+7 812 329-41-39;
In Georgia;191025, Санкт-Петербург, Колокольная ул., д. 8;0.0;;;
Гранд Фудс Сервис;197342, Санкт-Петербург, Сердобольская ул., д. 60;0.0;;;
Мираж Синема;197198, Санкт-Петербург, Большой П.С. пр-кт, д. 35 литер А;4.4;;;
На парах;191025, Санкт-Петербург, Марата ул., д. 16;5.0;;;
Русская Рюмочная №1;190000, Санкт-Петербург, Конногвардейский б-р, д. 4;5.0;+7 812 945-08-90;+7 812 570-64-20;
Современник;190000, Санкт-Петербург, Декабристов ул., д. 17, — 1 этаж;4.3;;;
Цзао Ван;195197, Санкт-Петербург, Металлистов пр-кт, д. 115, — 1 этаж;0.0;;;
La Cantine;195112, Санкт-Петербург, Карла Фаберже пл., д. 8, — БЦ РУССКИЕ САМОЦВЕТЫ;5.0;;;
Italy;197136,ТЦ "Априори";0.0;;;
Penabar;197227, Санкт-Петербург, Испытателей пр-кт, д. 30, — ТОЦ Miller Center;0.0;+7 812 600-25-33;+7 812 600-23-00;
Евразия;199178, Санкт-Петербург, Средний В.О. пр-кт, д. 46, — 2 этаж;0.0;;;
Емеля;195112, Санкт-Петербург, Заневский пр-кт, д. 73;0.0;;;
Laudes;197227, Санкт-Петербург, Испытателей пр-кт, д. 13;0.0;;;
Любимый Хабиб;191002, Санкт-Петербург, Рубинштейна ул., д. 23, — 1 этаж;0.0;;;
Brother's Pizza;197341, Санкт-Петербург, Коломяжский пр-кт, д. 17 к1, — 4 этаж;4.0;+7 812 677-03-33;+7 812 677-90-80;
Выборгская;197342, Санкт-Петербург, Торжковская ул., д. 3;0.0;+7 812 740-58-05;+7 812 740-58-01;
Craft Bier Cafe;191187, Санкт-Петербург, Гагаринская ул., д. 6;4.7;;;
Ресторан "BARASHKI" (БАРАШКИ);190031, Санкт-Петербург, Сенная пл., д. 2, — ТЦ Пик;3.7;;;
Castorama;193168, Санкт-Петербург, Дальневосточный пр-кт, д. 16;3.4;+7 812 332-06-61;+7 812 332-06-60;
Фестиваль Помидора;198207, Санкт-Петербург, Ленинский пр-кт, д. 109;0.0;;;
Океан roll;194214, Санкт-Петербург, Выборгское ш., д. 23 к2;0.0;;;
Jefferson;197343, Санкт-Петербург, Сердобольская ул., д. 7, — цокольный этаж;0.0;;;
ресторан Schengen;191028, Санкт-Петербург, Кирочная ул., д. 5;4.7;+7 495 150-09-72;+7 812 922-11-97;
Pomodors;Санкт-Петербург, Садовая ул., д. 45;0.0;;;
Saint Malo;191024, Санкт-Петербург, Невский пр-кт, д. 128, — вход с ул. Суворовский проспект;0.0;;;
Магия вкуса;194356, Санкт-Петербург, Просвещения пр-кт, д. 19, —  ТРК Nord;0.0;+7 812 940-01-05;+7 812 940-01-03;
GREY'S Bistro;191024, Санкт-Петербург, Конная ул., д. 5/3, — Вход с Тележного переулка;5.0;;;
Суши Тайм;190068, Санкт-Петербург, Садовая ул., д. 51, — 1 этаж;5.0;;;
Чебуречная Салхино;190068, Санкт-Петербург, Вознесенский пр-кт, д. 55;4.8;+7 812 407-48-42;+7 812 314-86-82;
KILLFISH;198099, Санкт-Петербург, Промышленная ул., д. 6, — 1 этаж;0.0;;;
Два Му;190121, Санкт-Петербург, Садовая ул., д. 94, — 1 этаж;4.5;+7 812 714-01-13;+7 812 714-50-84;
Сырная лавка;191014, Санкт-Петербург, Жуковского ул., д. 26;0.0;;;
The Bat;191023, Санкт-Петербург, Садовая ул., д. 28, — 30 к1;0.0;+7 921 652-46-76;+7 904 338-85-00;
